QuoteID,Quote,Audience,Topic,Theme,SourceType,InspiredBy,Author,OriginalTheme
WEMP201,A career grows faster when women stop treating every stretch opportunity as evidence they are underqualified.,Women,Leadership,Dreams,inspired_by,Lean In,Sheryl Sandberg,Career & Leadership
WEMP202,Freedom begins when being a good woman stops meaning being endlessly agreeable.,Women,Authenticity & Identity,Self-Worth,inspired_by,Untamed,Glennon Doyle,Authenticity & Freedom
WEMP203,"Your identity can hold daughter, mother, professional, partner, citizen, and dreamer without reducing any one of them.",Women,Authenticity & Identity,Happiness & Gratitude,inspired_by,Becoming,Michelle Obama,Identity & Becoming
WEMP204,"Strong women still need tools, routines, friendship, and rest to remain steady.",Women,Fitness,Discipline & Action,inspired_by,The Light We Carry,Michelle Obama,Confidence & Inner Strength
WEMP205,Women do not need to become more like men to deserve equal freedom.,Women,Justice & Equality,Self-Worth,inspired_by,We Should All Be Feminists,Chimamanda Ngozi Adichie,Equality & Voice
WEMP206,Do not teach girls to make themselves smaller to protect a boy's confidence.,Women,Growth,Believe in Yourself,inspired_by,"Dear Ijeawele, or A Feminist Manifesto in Fifteen Suggestions",Chimamanda Ngozi Adichie,Raising Empowered Girls
WEMP207,Public voice is not something women should need exceptional courage to use.,Women,Justice & Equality,Courage,inspired_by,Women & Power,Mary Beard,Power & Public Voice
WEMP208,Visible women leaders expand the imagination of the girls watching them.,Women,Justice & Equality,Dreams,inspired_by,Women and Leadership,Julia Gillard & Ngozi Okonjo-Iweala,Leadership & Gender Bias
WEMP209,Listen to women closest to the problem before designing solutions for their lives.,Women,Justice & Equality,Self-Worth,inspired_by,The Moment of Lift,Melinda French Gates,Global Equality & Opportunity
WEMP210,One girl speaking can expose the injustice that thousands were told to accept quietly.,Women,Study & Learning,Courage,inspired_by,I Am Malala,Malala Yousafzai & Christina Lamb,Education & Courage
WEMP211,"Your family story is important, but it is not the only authority on who you are.",Women,Study & Learning,Happiness & Gratitude,inspired_by,Educated,Tara Westover,Education & Self-Invention
WEMP212,Your pain deserves language even when institutions prefer neatness and silence.,Women,Justice & Equality,Self-Worth,inspired_by,Know My Name,Chanel Miller,"Voice, Dignity & Survival"
WEMP213,"Women's rights include survival, economic security, bodily safety, and access to basic needs.",Women,Justice & Equality,Self-Worth,inspired_by,Hood Feminism,Mikki Kendall,Intersectional Feminism
WEMP214,Stop speaking about your body in a way you would never speak to a child you love.,Women,Love,Self-Worth,inspired_by,The Body Is Not an Apology,Sonya Renee Taylor,Body Respect & Self-Love
WEMP215,Success becomes freer when you stop chasing acceptance from systems built without you in mind.,Women,Goals,Dreams,inspired_by,More Than Enough,Elaine Welteroth,Worth & Ambition
WEMP216,Speak before your answer feels polished enough to be immune from criticism.,Women,Self-Belief,Believe in Yourself,inspired_by,The Confidence Code,Katty Kay & Claire Shipman,Confidence & Action
WEMP217,Let go of habits that made you successful earlier but keep you small now.,Women,Career,Discipline & Action,inspired_by,How Women Rise,Sally Helgesen & Marshall Goldsmith,Career Growth & Habits
