QuoteID,Quote,Audience,Topic,Theme,SourceType,InspiredBy,Author,OriginalTheme
WEMP001,Do not wait to feel perfectly ready before stepping toward the opportunity you already earned.,Women,Leadership,Dreams,inspired_by,Lean In,Sheryl Sandberg,Career & Leadership
WEMP002,The woman beneath everyone else's expectations still has a voice; learn to recognize it.,Women,Authenticity & Identity,Self-Worth,inspired_by,Untamed,Glennon Doyle,Authenticity & Freedom
WEMP003,Your story is still becoming; no single chapter gets to define the whole woman.,Women,Authenticity & Identity,Becoming,inspired_by,Becoming,Michelle Obama,Identity & Becoming
WEMP004,Confidence is easier to carry when it is built from self-knowledge rather than applause.,Women,Fitness,Believe in Yourself,inspired_by,The Light We Carry,Michelle Obama,Confidence & Inner Strength
WEMP005,Equality begins when girls are raised for possibility instead of limitation.,Women,Justice & Equality,Self-Worth,inspired_by,We Should All Be Feminists,Chimamanda Ngozi Adichie,Equality & Voice
WEMP006,Raise a girl to know she is a complete person before anyone calls her someone's wife.,Women,Growth,Growth,inspired_by,"Dear Ijeawele, or A Feminist Manifesto in Fifteen Suggestions",Chimamanda Ngozi Adichie,Raising Empowered Girls
WEMP007,"When a woman is called too loud, ask whether the real discomfort is that she is audible at all.",Women,Justice & Equality,Self-Worth,inspired_by,Women & Power,Mary Beard,Power & Public Voice
WEMP008,A woman can be both warm and formidable; leadership should not force her to choose one.,Women,Justice & Equality,Dreams,inspired_by,Women and Leadership,Julia Gillard & Ngozi Okonjo-Iweala,Leadership & Gender Bias
WEMP009,"When women gain power over education, money, health, and choice, entire communities gain possibility.",Women,Justice & Equality,Self-Worth,inspired_by,The Moment of Lift,Melinda French Gates,Global Equality & Opportunity
WEMP010,A girl's education is powerful precisely because it gives her more choices than others may have planned for her.,Women,Study & Learning,Courage,inspired_by,I Am Malala,Malala Yousafzai & Christina Lamb,Education & Courage
WEMP011,Learning can give a woman language for realities she was once told not to question.,Women,Study & Learning,Becoming,inspired_by,Educated,Tara Westover,Education & Self-Invention
