QuoteID,Quote,Audience,Topic,Theme,SourceType,InspiredBy,Author,OriginalTheme
SG351,"Meaning grows where contribution, enjoyment, skill, and community begin to overlap.",All,Purpose & Meaning,Happiness & Gratitude,inspired_by,Ikigai,Héctor García & Francesc Miralles,Purpose & Longevity
SG352,Stop hiding from the evidence of what you are capable of surviving.,All,Mental Health,Resilience,inspired_by,Can't Hurt Me,David Goggins,Mental Toughness & Accountability
SG353,Discomfort can become training when it is chosen intelligently rather than worshipped blindly.,All,Mental Health,Resilience,inspired_by,Can't Hurt Me,David Goggins,Mental Toughness & Accountability
SG354,Your past can explain you without becoming permission to remain unchanged.,All,Mental Health,Resilience,inspired_by,Can't Hurt Me,David Goggins,Mental Toughness & Accountability
SG355,Accountability starts when excuses stop receiving special treatment.,All,Mental Health,Resilience,inspired_by,Can't Hurt Me,David Goggins,Mental Toughness & Accountability
SG356,Keep proof of the hard things you have already done for the days self-doubt returns.,All,Mental Health,Resilience,inspired_by,Can't Hurt Me,David Goggins,Mental Toughness & Accountability
SG357,"Push beyond the first voice that says you are finished, while still respecting real injury and recovery.",All,Mental Health,Resilience,inspired_by,Can't Hurt Me,David Goggins,Mental Toughness & Accountability
SG358,Mental toughness grows through repeated evidence that you can do difficult things.,All,Mental Health,Resilience,inspired_by,Can't Hurt Me,David Goggins,Mental Toughness & Accountability
SG359,Begin with one completed task and let order create momentum.,All,Discipline,Discipline & Action,inspired_by,Make Your Bed,William H. McRaven,Discipline & Service
SG360,Small disciplines can steady you when the larger day becomes chaotic.,All,Discipline,Discipline & Action,inspired_by,Make Your Bed,William H. McRaven,Discipline & Service
SG361,Do not judge people before you have seen what they can endure or contribute.,All,Discipline,Discipline & Action,inspired_by,Make Your Bed,William H. McRaven,Discipline & Service
SG362,Some missions require help; strength includes knowing when to rely on a team.,All,Discipline,Discipline & Action,inspired_by,Make Your Bed,William H. McRaven,Discipline & Service
SG363,Failure can become training when you return with more discipline.,All,Discipline,Discipline & Action,inspired_by,Make Your Bed,William H. McRaven,Discipline & Service
SG364,Hope sometimes means continuing the work before the outcome is visible.,All,Discipline,Discipline & Action,inspired_by,Make Your Bed,William H. McRaven,Discipline & Service
SG365,Improve the small area you can control and carry that standard into the next one.,All,Discipline,Discipline & Action,inspired_by,Make Your Bed,William H. McRaven,Discipline & Service
