QuoteID,Quote,Audience,Topic,Theme,SourceType,InspiredBy,Author,AttributionNote,OriginalTheme,SourceURL
WOM201,Someone's potential is not a promise you have to wait for.,Women,Relationships,Self-Worth,original,,,Original for @talksnwalks101,Relationships,
WOM202,You can be uncertain and still move forward.,Women,Growth,Growth,original,,,Original for @talksnwalks101,Mindset,
WOM203,One walk can reset a day.,Women,Fitness,Growth,original,,,Original for @talksnwalks101,Fitness,
WOM204,Slow mornings and clear boundaries can be forms of success.,Women,Peace,Peace & Letting Go,original,,,Original for @talksnwalks101,Peace,
WOM205,"Track what matters, but do not let tracking replace living.",Women,Discipline,Discipline & Action,original,,,Original for @talksnwalks101,Habits,
WOM206,Self-respect is self-love with a backbone.,Women,Love,Self-Worth,original,,,Original for @talksnwalks101,Self-Love,
WOM207,Confidence is built through evidence; give yourself something to point to.,Women,Self-Belief,Believe in Yourself,original,,,Original for @talksnwalks101,Confidence,
WOM208,Being understanding does not require accepting repeated disrespect.,Women,Peace,Peace & Letting Go,original,,,Original for @talksnwalks101,Boundaries,
WOM209,Let the wound teach you without letting it name you.,Women,Mental Health,Growth,original,,,Original for @talksnwalks101,Healing,
WOM210,Build a career that respects both your talent and your life.,Women,Career,Dreams,original,,,Original for @talksnwalks101,Career & Ambition,
WOM211,Clarity is one of the kindest things a leader can provide.,Women,Leadership,Dreams,original,,,Original for @talksnwalks101,Leadership,
WOM212,You are allowed to want wealth and still be a good person.,Women,Money Mindset,Dreams,original,,,Original for @talksnwalks101,Financial Independence,
WOM213,You can bend without becoming broken.,Women,Resilience,Resilience,original,,,Original for @talksnwalks101,Resilience,
WOM214,"Take the risk that protects your future, not the one that protects your image.",Women,Courage,Courage,original,,,Original for @talksnwalks101,Courage,
WOM215,Do not confuse familiarity with alignment.,Women,Growth,Growth,original,,,Original for @talksnwalks101,Personal Growth,
WOM216,What matters to you deserves a place on your calendar.,Women,Purpose & Meaning,Dreams,original,,,Original for @talksnwalks101,Purpose,
WOM217,Choose the long-term reward often enough to change your life.,Women,Discipline,Discipline & Action,original,,,Original for @talksnwalks101,Discipline,
WOM218,"Notice the people, places, and moments that make your shoulders drop.",Women,Gratitude,Happiness & Gratitude,original,,,Original for @talksnwalks101,Gratitude & Joy,
WOM219,Find women who speak well of other women when they are not in the room.,Women,Friendship,Happiness & Gratitude,original,,,Original for @talksnwalks101,Friendship & Community,
WOM220,Care for yourself in ways your future energy will notice.,Women,Rest & Recovery,Peace & Letting Go,original,,,Original for @talksnwalks101,Rest & Self-Care,
WOM221,Body respect is possible even on days body love feels far away.,Women,Body Confidence,Self-Worth,original,,,Original for @talksnwalks101,Body Respect,
WOM222,Make art that tells the truth you cannot fit into a meeting.,Women,Growth,Growth,original,,,Original for @talksnwalks101,Creativity,
WOM223,Starting again with experience is not starting from zero.,Women,Growth,Growth,original,,,Original for @talksnwalks101,Change & New Beginnings,
WOM224,Family love grows through ordinary attention.,Women,Mother,Happiness & Gratitude,original,,,Original for @talksnwalks101,Motherhood & Family,
WOM225,"Celebrate the milestone, then remember you are more than the milestone.",Women,Goals,Dreams,original,,,Original for @talksnwalks101,Success & Achievement,
WOM226,Mutual effort is one of the quietest forms of love.,Women,Relationships,Self-Worth,original,,,Original for @talksnwalks101,Relationships,
WOM227,Not every thought deserves your belief.,Women,Growth,Believe in Yourself,original,,,Original for @talksnwalks101,Mindset,
WOM228,"Train for energy, strength, mobility, and the life you want to keep living.",Women,Fitness,Growth,original,,,Original for @talksnwalks101,Fitness,
WOM229,Sometimes closure is simply deciding not to reopen the door.,Women,Peace,Peace & Letting Go,original,,,Original for @talksnwalks101,Peace,
WOM230,Missing once is life; giving up is a decision.,Women,Discipline,Discipline & Action,original,,,Original for @talksnwalks101,Habits,
WOM231,Do not abandon yourself to keep someone else comfortable.,Women,Love,Self-Worth,original,,,Original for @talksnwalks101,Self-Love,
WOM232,Do the thing badly enough to learn how to do it well.,Women,Self-Belief,Believe in Yourself,original,,,Original for @talksnwalks101,Confidence,
WOM233,Do not confuse guilt with wrongdoing.,Women,Peace,Peace & Letting Go,original,,,Original for @talksnwalks101,Boundaries,
WOM234,You are allowed to heal privately.,Women,Mental Health,Growth,original,,,Original for @talksnwalks101,Healing,
WOM235,Your next level may require leaving the role that once felt like a dream.,Women,Career,Dreams,original,,,Original for @talksnwalks101,Career & Ambition,
WOM236,Do not confuse control with leadership.,Women,Leadership,Peace & Letting Go,original,,,Original for @talksnwalks101,Leadership,
