QuoteID,Quote,Audience,Topic,Theme,SourceType,InspiredBy,Author,AttributionNote,OriginalTheme,SourceURL
WLEG001,Believe in the woman you're becoming.,Women,Self-Belief,Believe in Yourself,legacy_original,,,Existing Talk N Walks production quote; already published.,Believe in Yourself,
WLEG002,You don't discover confidence by thinking about it. You build evidence for it.,Women,Self-Belief,Believe in Yourself,legacy_original,,,Existing Talk N Walks production quote; already published.,Believe in Yourself,
WLEG003,Trust yourself enough to make one decision without polling the room.,Women,Self-Belief,Believe in Yourself,legacy_original,,,Existing Talk N Walks production quote; already published.,Believe in Yourself,
WLEG004,Stop waiting for permission to become visible.,Women,Self-Belief,Believe in Yourself,legacy_original,,,Existing Talk N Walks production quote; already published.,Believe in Yourself,
WOM001,"Love should make room for your voice, not ask you to shrink it.",Women,Relationships,Self-Worth,original,,,Original for @talksnwalks101,Relationships,
WOM002,Your life changes when your inner voice stops working against you.,Women,Growth,Self-Worth,original,,,Original for @talksnwalks101,Mindset,
WOM003,"Move your body because you live in it, not because you are at war with it.",Women,Fitness,Growth,original,,,Original for @talksnwalks101,Fitness,
WOM004,Peace begins when you stop arguing with what you already know.,Women,Peace,Peace & Letting Go,original,,,Original for @talksnwalks101,Peace,
WOM005,Your future is hiding inside the things you repeat.,Women,Discipline,Discipline & Action,original,,,Original for @talksnwalks101,Habits,
WOM006,Self-love is not thinking you are perfect; it is refusing to treat yourself as disposable.,Women,Love,Self-Worth,original,,,Original for @talksnwalks101,Self-Love,
WOM007,Confidence grows every time you keep a promise to yourself.,Women,Self-Belief,Believe in Yourself,original,,,Original for @talksnwalks101,Confidence,
WOM008,A boundary is not a punishment; it is information about how to stay in your life.,Women,Peace,Peace & Letting Go,original,,,Original for @talksnwalks101,Boundaries,
WOM009,Healing is not becoming who you were before; it is becoming safer inside who you are now.,Women,Mental Health,Becoming,original,,,Original for @talksnwalks101,Healing,
WOM010,Do not make your ambition smaller so other people can stay comfortable.,Women,Career,Dreams,original,,,Original for @talksnwalks101,Career & Ambition,
WOM011,Leadership is not being the loudest voice; it is creating clarity when others feel lost.,Women,Leadership,Self-Worth,original,,,Original for @talksnwalks101,Leadership,
WOM012,Financial independence is not greed; it is freedom with options.,Women,Money Mindset,Dreams,original,,,Original for @talksnwalks101,Financial Independence,
WOM013,You have already survived days you once thought would break you.,Women,Resilience,Resilience,original,,,Original for @talksnwalks101,Resilience,
WOM014,"Courage often sounds like a shaky voice saying, 'I will do it anyway.'",Women,Courage,Courage,original,,,Original for @talksnwalks101,Courage,
WOM015,Growth is not becoming someone else; it is becoming more intentional about who you are.,Women,Growth,Becoming,original,,,Original for @talksnwalks101,Personal Growth,
WOM016,"Purpose is often built through useful work, not discovered in one dramatic moment.",Women,Purpose & Meaning,Dreams,original,,,Original for @talksnwalks101,Purpose,
WOM017,Discipline is remembering what you wanted when comfort changes the subject.,Women,Discipline,Discipline & Action,original,,,Original for @talksnwalks101,Discipline,
WOM018,Joy does not need to wait until every problem is solved.,Women,Gratitude,Happiness & Gratitude,original,,,Original for @talksnwalks101,Gratitude & Joy,
