QuoteID,Quote,Audience,Topic,Theme,SourceType,InspiredBy,Author,OriginalTheme
SG151,Trust grows through small behaviours long before it becomes a big word.,All,Leadership,Courage,inspired_by,Dare to Lead,Brené Brown,Leadership & Courage
SG152,A brave leader makes room for truth that may be uncomfortable to hear.,All,Leadership,Courage,inspired_by,Dare to Lead,Brené Brown,Leadership & Courage
SG153,Vulnerability in leadership means admitting uncertainty without abandoning responsibility.,All,Leadership,Courage,inspired_by,Dare to Lead,Brené Brown,Leadership & Courage
SG154,Feedback works better when dignity survives the conversation.,All,Leadership,Courage,inspired_by,Dare to Lead,Brené Brown,Leadership & Courage
SG155,"Strong cultures are built where courage is practiced, not merely praised.",All,Leadership,Courage,inspired_by,Dare to Lead,Brené Brown,Leadership & Courage
SG156,Belonging becomes exhausting when it requires pretending to be someone else.,All,Authenticity & Identity,Self-Worth,inspired_by,The Gifts of Imperfection,Brené Brown,Authenticity & Self-Worth
SG157,Your worth is not waiting at the end of a perfect performance.,All,Authenticity & Identity,Discipline & Action,inspired_by,The Gifts of Imperfection,Brené Brown,Authenticity & Self-Worth
SG158,Let go of the life designed to impress and pay attention to the one that feels true.,All,Authenticity & Identity,Self-Worth,inspired_by,The Gifts of Imperfection,Brené Brown,Authenticity & Self-Worth
SG159,Self-compassion creates more room for change than constant self-criticism.,All,Authenticity & Identity,Self-Worth,inspired_by,The Gifts of Imperfection,Brené Brown,Authenticity & Self-Worth
SG160,"Rest, play, and creativity are not rewards for finishing life.",All,Authenticity & Identity,Peace & Letting Go,inspired_by,The Gifts of Imperfection,Brené Brown,Authenticity & Self-Worth
SG161,Authenticity is a practice of choosing honesty over approval.,All,Authenticity & Identity,Self-Worth,inspired_by,The Gifts of Imperfection,Brené Brown,Authenticity & Self-Worth
SG162,"Imperfection is part of being human, not evidence that you failed at it.",All,Authenticity & Identity,Self-Worth,inspired_by,The Gifts of Imperfection,Brené Brown,Authenticity & Self-Worth
SG163,Act before hesitation turns a small decision into a long negotiation.,All,Courage,Courage,inspired_by,The 5 Second Rule,Mel Robbins,Action & Courage
SG164,Courage becomes easier when the first step is made quickly.,All,Courage,Courage,inspired_by,The 5 Second Rule,Mel Robbins,Action & Courage
SG165,Your feelings do not need to vote on every useful action.,All,Courage,Courage,inspired_by,The 5 Second Rule,Mel Robbins,Action & Courage
SG166,Interrupt the delay pattern before your mind builds a convincing excuse.,All,Courage,Courage,inspired_by,The 5 Second Rule,Mel Robbins,Action & Courage
SG167,Momentum often begins with a tiny physical move.,All,Courage,Courage,inspired_by,The 5 Second Rule,Mel Robbins,Action & Courage
