QuoteID,Quote,Audience,Topic,Theme,SourceType,InspiredBy,Author,OriginalTheme
WEMP101,Speak up in important rooms. Your ideas deserve to be heard.,Women,Leadership,Dreams,inspired_by,Lean In,Sheryl Sandberg,Career & Leadership
WEMP102,Trust yourself before you ask everyone else for permission.,Women,Authenticity & Identity,Self-Worth,inspired_by,Untamed,Glennon Doyle,Authenticity & Freedom
WEMP103,Confidence grows when you remember how much you have already learned and overcome.,Women,Authenticity & Identity,Believe in Yourself,inspired_by,Becoming,Michelle Obama,Identity & Becoming
WEMP104,You can feel afraid and still choose where your life goes.,Women,Fitness,Believe in Yourself,inspired_by,The Light We Carry,Michelle Obama,Confidence & Inner Strength
WEMP105,Teach girls that ambition is nothing to be ashamed of.,Women,Justice & Equality,Self-Worth,inspired_by,We Should All Be Feminists,Chimamanda Ngozi Adichie,Equality & Voice
WEMP106,"Housework is a life skill for everyone, not a woman’s duty.",Women,Growth,Growth,inspired_by,"Dear Ijeawele, or A Feminist Manifesto in Fifteen Suggestions",Chimamanda Ngozi Adichie,Raising Empowered Girls
WEMP107,A woman should not have to act like a man to be taken seriously.,Women,Justice & Equality,Self-Worth,inspired_by,Women & Power,Mary Beard,Power & Public Voice
WEMP108,"Judge women leaders by their decisions, not by how comfortable they make everyone feel.",Women,Justice & Equality,Dreams,inspired_by,Women and Leadership,Julia Gillard & Ngozi Okonjo-Iweala,Leadership & Gender Bias
WEMP109,"A girl’s future grows when she has a say over her body, education, and marriage.",Women,Justice & Equality,Peace & Letting Go,inspired_by,The Moment of Lift,Melinda French Gates,Global Equality & Opportunity
WEMP110,Education gives girls choices that fear and control cannot easily take away.,Women,Study & Learning,Peace & Letting Go,inspired_by,I Am Malala,Malala Yousafzai & Christina Lamb,Education & Courage
WEMP111,Learning can help you see your past in a new and healthier way.,Women,Study & Learning,Becoming,inspired_by,Educated,Tara Westover,Education & Self-Invention
WEMP112,"The shame belongs to the person who caused the harm, not the person who survived it.",Women,Justice & Equality,Self-Worth,inspired_by,Know My Name,Chanel Miller,"Voice, Dignity & Survival"
WEMP113,Equality is not real if some women are still ignored because of race or class.,Women,Justice & Equality,Self-Worth,inspired_by,Hood Feminism,Mikki Kendall,Intersectional Feminism
WEMP114,Your body does not need public approval to deserve respect.,Women,Love,Self-Worth,inspired_by,The Body Is Not an Apology,Sonya Renee Taylor,Body Respect & Self-Love
WEMP115,Being accepted is not the same as being truly valued.,Women,Goals,Dreams,inspired_by,More Than Enough,Elaine Welteroth,Worth & Ambition
WEMP116,You can be capable and still doubt yourself. Do not let doubt hide what you can do.,Women,Self-Belief,Believe in Yourself,inspired_by,The Confidence Code,Katty Kay & Claire Shipman,Confidence & Action
WEMP117,Build real relationships before you need a favor.,Women,Career,Discipline & Action,inspired_by,How Women Rise,Sally Helgesen & Marshall Goldsmith,Career Growth & Habits
WEMP118,You do not need permission to take your own dreams seriously.,Women,Purpose & Meaning,Dreams,inspired_by,Playing Big,Tara Mohr,Calling & Inner Critic
WEMP119,Do not keep doing invisible office work while others get credit for leading.,Women,Career,Dreams,inspired_by,Nice Girls Don't Get the Corner Office,Lois P. Frankel,Workplace Power
WEMP120,Build your own financial choices even while the system is still unfair.,Women,Money Mindset,Dreams,inspired_by,Own It,Sallie Krawcheck,"Women, Work & Financial Power"
WEMP121,Know your money well enough that no one can use it to control you.,Women,Money Mindset,Dreams,inspired_by,Financial Feminist,Tori Dunlap,Money & Independence
WEMP122,Wanting to earn more does not make you greedy. Money can create more choices.,Women,Money Mindset,Resilience,inspired_by,We Should All Be Millionaires,Rachel Rodgers,Wealth & Economic Power
WEMP123,Build financial safety before you chase financial status.,Women,Money Mindset,Dreams,inspired_by,Get Good with Money,Tiffany Aliche,Financial Security & Systems
WEMP124,Earning too little can become a habit if you never question it.,Women,Authenticity & Identity,Discipline & Action,inspired_by,Secrets of Six-Figure Women,Barbara Huson,Earning & Self-Worth
WEMP125,Do not build a successful life with no time left to enjoy it.,Women,Courage,Courage,inspired_by,Year of Yes,Shonda Rhimes,Courage & Visibility
WEMP126,"Fear can come with you, but it does not get to make the decision.",Women,Growth,Growth,inspired_by,Big Magic,Elizabeth Gilbert,Creativity & Permission
WEMP127,Make choices your future self will be proud of.,Women,Self-Belief,Believe in Yourself,inspired_by,You Are a Badass,Jen Sincero,Self-Belief & Action
WEMP128,Feeling nervous does not mean you should stop. Take the next small step.,Women,Courage,Courage,inspired_by,The 5 Second Rule,Mel Robbins,Action & Courage
