QuoteID,Quote,Audience,Topic,Theme,SourceType,InspiredBy,Author,OriginalTheme
SG251,Success often hides inside ordinary decisions made consistently.,All,Discipline,Discipline & Action,inspired_by,The Compound Effect,Darren Hardy,Consistency & Results
SG252,Your habits are either quietly paying you or quietly charging you.,All,Discipline,Discipline & Action,inspired_by,The Compound Effect,Darren Hardy,Consistency & Results
SG253,Do not underestimate what a year of repeated small choices can become.,All,Discipline,Discipline & Action,inspired_by,The Compound Effect,Darren Hardy,Consistency & Results
SG254,The easiest useful choice to skip today may be the one that matters after hundreds of repetitions.,All,Discipline,Discipline & Action,inspired_by,The Slight Edge,Jeff Olson,Daily Choices & Consistency
SG255,Simple disciplines gain power because time keeps adding to them.,All,Discipline,Discipline & Action,inspired_by,The Slight Edge,Jeff Olson,Daily Choices & Consistency
SG256,Progress is often invisible before it becomes undeniable.,All,Discipline,Discipline & Action,inspired_by,The Slight Edge,Jeff Olson,Daily Choices & Consistency
SG257,The same small decisions that build success can also build decline in the opposite direction.,All,Discipline,Discipline & Action,inspired_by,The Slight Edge,Jeff Olson,Daily Choices & Consistency
SG258,Do not judge a habit only by today's result.,All,Discipline,Discipline & Action,inspired_by,The Slight Edge,Jeff Olson,Daily Choices & Consistency
SG259,Consistency turns ordinary actions into uncommon outcomes.,All,Discipline,Discipline & Action,inspired_by,The Slight Edge,Jeff Olson,Daily Choices & Consistency
SG260,Your direction matters long before the distance becomes obvious.,All,Discipline,Discipline & Action,inspired_by,The Slight Edge,Jeff Olson,Daily Choices & Consistency
SG261,Do the most valuable difficult task before easier work steals your attention.,All,Execution,Discipline & Action,inspired_by,Eat That Frog!,Brian Tracy,Execution & Priorities
SG262,Priorities become real only when they influence the order of your actions.,All,Execution,Discipline & Action,inspired_by,Eat That Frog!,Brian Tracy,Execution & Priorities
SG263,Planning tomorrow before today ends can reduce morning confusion.,All,Execution,Discipline & Action,inspired_by,Eat That Frog!,Brian Tracy,Execution & Priorities
SG264,Break large work into a next step small enough to begin immediately.,All,Execution,Discipline & Action,inspired_by,Eat That Frog!,Brian Tracy,Execution & Priorities
SG265,Your busiest task is not always your most important one.,All,Execution,Discipline & Action,inspired_by,Eat That Frog!,Brian Tracy,Execution & Priorities
SG266,Productivity improves when you stop polishing low-value work.,All,Execution,Discipline & Action,inspired_by,Eat That Frog!,Brian Tracy,Execution & Priorities
SG267,Start with the task whose completion creates the greatest relief or progress.,All,Execution,Discipline & Action,inspired_by,Eat That Frog!,Brian Tracy,Execution & Priorities
SG268,Begin the day with practices that develop you before demands consume you.,All,Discipline,Discipline & Action,inspired_by,The Miracle Morning,Hal Elrod,Morning Routine & Growth
SG269,"Silence, movement, learning, reflection, and intention can change the tone of a morning.",All,Discipline,Discipline & Action,inspired_by,The Miracle Morning,Hal Elrod,Morning Routine & Growth
SG270,Your morning does not need to be long to be deliberate.,All,Discipline,Discipline & Action,inspired_by,The Miracle Morning,Hal Elrod,Morning Routine & Growth
SG271,Wake with a reason stronger than the snooze button.,All,Discipline,Discipline & Action,inspired_by,The Miracle Morning,Hal Elrod,Morning Routine & Growth
SG272,A consistent personal ritual can create stability during unpredictable seasons.,All,Discipline,Discipline & Action,inspired_by,The Miracle Morning,Hal Elrod,Morning Routine & Growth
SG273,Use the first part of the day to become more prepared for the rest of it.,All,Discipline,Discipline & Action,inspired_by,The Miracle Morning,Hal Elrod,Morning Routine & Growth
SG274,Morning routines work best when they serve your life rather than become another performance.,All,Discipline,Discipline & Action,inspired_by,The Miracle Morning,Hal Elrod,Morning Routine & Growth
SG275,Shorter planning horizons can turn distant goals into immediate commitments.,All,Execution,Discipline & Action,inspired_by,The 12 Week Year,Brian P. Moran & Michael Lennington,Goals & Execution
SG276,Treat each week as valuable enough to measure rather than casually losing it.,All,Execution,Discipline & Action,inspired_by,The 12 Week Year,Brian P. Moran & Michael Lennington,Goals & Execution
SG277,Execution improves when goals are translated into specific weekly actions.,All,Execution,Discipline & Action,inspired_by,The 12 Week Year,Brian P. Moran & Michael Lennington,Goals & Execution
SG278,Annual ambition becomes easier to manage when the next twelve weeks have a clear finish line.,All,Execution,Discipline & Action,inspired_by,The 12 Week Year,Brian P. Moran & Michael Lennington,Goals & Execution
SG279,"Measure lead actions, not only outcomes you cannot fully control.",All,Execution,Discipline & Action,inspired_by,The 12 Week Year,Brian P. Moran & Michael Lennington,Goals & Execution
SG280,Accountability becomes useful when it points to behaviour rather than shame.,All,Execution,Discipline & Action,inspired_by,The 12 Week Year,Brian P. Moran & Michael Lennington,Goals & Execution
SG281,Intensity improves when the deadline is close enough to feel real.,All,Execution,Discipline & Action,inspired_by,The 12 Week Year,Brian P. Moran & Michael Lennington,Goals & Execution
SG282,Automate good financial decisions so discipline is not required every payday.,All,Growth,Discipline & Action,inspired_by,I Will Teach You to Be Rich,Ramit Sethi,Personal Finance & Systems
SG283,Spend generously on what you truly value and cut aggressively where you do not.,All,Growth,Growth,inspired_by,I Will Teach You to Be Rich,Ramit Sethi,Personal Finance & Systems
SG284,Perfect investing knowledge is less useful than beginning with a sensible system.,All,Growth,Growth,inspired_by,I Will Teach You to Be Rich,Ramit Sethi,Personal Finance & Systems
SG285,"Credit, saving, investing, and spending work better when they are designed together.",All,Growth,Growth,inspired_by,I Will Teach You to Be Rich,Ramit Sethi,Personal Finance & Systems
SG286,"Money should support a rich life you define, not a lifestyle copied from strangers.",All,Growth,Dreams,inspired_by,I Will Teach You to Be Rich,Ramit Sethi,Personal Finance & Systems
SG287,Negotiate major expenses because small repeated savings cannot fix every large cost.,All,Growth,Growth,inspired_by,I Will Teach You to Be Rich,Ramit Sethi,Personal Finance & Systems
SG288,Build financial systems that keep working when enthusiasm disappears.,All,Growth,Dreams,inspired_by,I Will Teach You to Be Rich,Ramit Sethi,Personal Finance & Systems
SG289,Pay your future self before your income disappears into present wants.,All,Money Mindset,Dreams,inspired_by,The Richest Man in Babylon,George S. Clason,Saving & Wealth Building
SG290,Money kept and invested wisely can begin producing money of its own.,All,Money Mindset,Dreams,inspired_by,The Richest Man in Babylon,George S. Clason,Saving & Wealth Building
SG291,Protect capital from opportunities you do not understand.,All,Money Mindset,Dreams,inspired_by,The Richest Man in Babylon,George S. Clason,Saving & Wealth Building
